file,potential,t_min,model,A,beta,C,M,r2,n_points
Ca12,0.4,0.9,linear,1.456010773861792e-06,0.5863533695245425,1.645131732429491e-07,6.007897502626594e-10,0.9998132802844157,2383
Ca12,0.4,1.0,simple,1.4215174752204357e-06,0.7035170539786987,2.592784105165107e-07,,0.9962075118335895,2381
Ca12,0.4,1.0,linear,1.4557827450271407e-06,0.5858528963875079,1.6416219596614762e-07,6.02241388206586e-10,0.9998006703596986,2381
Ca12,0.4,2.0,simple,1.527641183819751e-06,0.7547782482827673,2.6933158057542617e-07,,0.9954385956497432,2361
Ca12,0.4,2.0,linear,1.451930954620921e-06,0.5809341396690475,1.6101198346193683e-07,6.142108663531078e-10,0.9996780149227027,2361
Ca12,0.4,3.0,simple,1.660970014930098e-06,0.8034318904198571,2.765961270803215e-07,,0.9950842422615538,2341
Ca12,0.4,3.0,linear,1.4578048455594686e-06,0.5862067440115929,1.640623236090167e-07,6.035963270839765e-10,0.9995511743529022,2341
Ca12,0.4,4.0,simple,1.8131253004122161e-06,0.8483149866334447,2.8193843541727636e-07,,0.9948514510645111,2321
Ca12,0.4,4.0,linear,1.4691520682980726e-06,0.5945919319007394,1.6850226578266368e-07,5.888370071298334e-10,0.9994179043009616,2321
Ca12,0.4,5.0,simple,1.9886490626868804e-06,0.8922052074697053,2.8632285508185257e-07,,0.9946644521626605,2301
Ca12,0.4,5.0,linear,1.4847900620936409e-06,0.6045780630961922,1.733641149018241e-07,5.731724289634318e-10,0.9992737231996122,2301
Ca13,0.4,0.1,simple,1.3722931794087962e-06,0.6589525504672663,2.504117415868397e-07,,0.9976345616462485,2399
Ca13,0.4,0.1,linear,1.45509015673167e-06,0.6285065009875919,1.9929194104148196e-07,4.671842060322254e-10,0.9989720953134418,2399
Ca13,0.4,0.2,simple,1.3702017788515715e-06,0.64894775626609,2.464507217754201e-07,,0.9967482911405253,2397
Ca13,0.4,0.2,linear,1.4866164034288606e-06,0.5899320240192538,1.6308532112928034e-07,6.64169372954772e-10,0.9999111515435446,2397
Ca13,0.4,0.3,simple,1.3771659776751518e-06,0.6605434329343243,2.5060333270473813e-07,,0.9964199662918167,2395
Ca13,0.4,0.3,linear,1.4870162358678867e-06,0.5890022879943884,1.6224555265135526e-07,6.683002724502503e-10,0.999891858950416,2395
Ca13,0.4,0.4,simple,1.3854458350980594e-06,0.6701241392864791,2.537013614010152e-07,,0.9961452995941235,2393
Ca13,0.4,0.4,linear,1.4873559335454834e-06,0.5876511517115276,1.610763055016923e-07,6.738728541850189e-10,0.9998779228636064,2393
Ca13,0.4,0.5,simple,1.3949439025103174e-06,0.6790870619162522,2.5637589552009867e-07,,0.995940815113413,2391
Ca13,0.4,0.5,linear,1.4873868607625227e-06,0.5870850812112614,1.6060987400876626e-07,6.760164056318918e-10,0.999862402329824,2391
Ca13,0.4,0.6,simple,1.4050309200691965e-06,0.6873412340316902,2.586748674937427e-07,,0.9957653842355194,2389
Ca13,0.4,0.6,linear,1.487344436550788e-06,0.5866078945536908,1.6023108203988962e-07,6.777099076393618e-10,0.9998475525551801,2389
Ca13,0.4,0.7,simple,1.415479057820147e-06,0.6950164672577224,2.606877000323434e-07,,0.9956064433510198,2387
Ca13,0.4,0.7,linear,1.4872367760914704e-06,0.5860941158336288,1.5983596269980112e-07,6.794336250932518e-10,0.9998332661776891,2387
