E,current_mean,current_sd,day,n_replicates,polished
0.23283,6.603606000000001e-07,5.481553075381303e-08,Y,10,False
0.237784,6.628033e-07,5.606070493283745e-08,Y,10,False
0.242738,6.648605e-07,5.482746322834529e-08,Y,10,False
0.247692,6.669555000000001e-07,5.593701435295079e-08,Y,10,False
0.252646,6.689472e-07,5.477317138851424e-08,Y,10,False
0.2576,6.710231000000001e-07,5.572022892281682e-08,Y,10,False
0.262554,6.728457999999998e-07,5.481666513185364e-08,Y,10,False
0.267507,6.749314999999999e-07,5.552404354721776e-08,Y,10,False
0.272461,6.767538e-07,5.4830888265242935e-08,Y,10,False
0.277415,6.788206e-07,5.5234025180136937e-08,Y,10,False
0.282369,6.799290999999999e-07,5.481154547974156e-08,Y,10,False
0.287323,6.82137e-07,5.4959190473983124e-08,Y,10,False
0.292277,6.841287e-07,5.4820984019807614e-08,Y,10,False
0.297231,6.862235e-07,5.4797068265555946e-08,Y,10,False
0.302184,6.882527e-07,5.500457212319313e-08,Y,10,False
0.297231,5.654490000000001e-07,4.8742187613332796e-08,Y,10,False
0.292277,4.790768000000001e-07,4.35693623924988e-08,Y,10,False
0.287323,4.1135249999999995e-07,3.8161465288225565e-08,Y,10,False
0.282369,3.5562490000000004e-07,3.436147243465823e-08,Y,10,False
0.277415,3.0977080000000004e-07,3.0117125795430384e-08,Y,10,False
0.272461,2.6954390000000003e-07,2.7441703892878883e-08,Y,10,False
0.267507,2.3505710000000003e-07,2.3891759064813776e-08,Y,10,False
0.262554,2.0451569999999997e-07,2.190668951637072e-08,Y,10,False
0.2576,1.776385e-07,1.9039307691953743e-08,Y,10,False
0.252646,1.5357943000000003e-07,1.753954319701944e-08,Y,10,False
0.247692,1.3175639e-07,1.517642235167945e-08,Y,10,False
0.242738,1.1227258799999999e-07,1.4007051562064338e-08,Y,10,False
0.237784,9.403802999999999e-08,1.1986611796161953e-08,Y,10,False
0.23283,7.769176400000001e-08,1.1185091653752726e-08,Y,10,False
0.227877,6.2078256e-08,9.516041879612437e-09,Y,10,False
0.222923,4.8306052e-08,8.719532245130022e-09,Y,10,False
0.217969,3.4627792999999994e-08,7.578442108950376e-09,Y,10,False
0.213015,2.2518397999999998e-08,6.905591059494715e-09,Y,10,False
0.208061,1.01835394e-08,5.907649186622226e-09,Y,10,False
0.203107,-6.482143000000001e-10,5.3741803622938125e-09,Y,10,False
0.198154,-1.1940293100000002e-08,4.708765821080024e-09,Y,10,False
0.1932,-2.1992312e-08,4.215626342438597e-09,Y,10,False
0.188246,-3.2824062999999994e-08,3.659186674227697e-09,Y,10,False
0.183292,-4.2199686e-08,3.286641082730716e-09,Y,10,False
0.178338,-5.2355042e-08,2.816252800390381e-09,Y,10,False
0.173384,-6.144883e-08,2.7070296013199083e-09,Y,10,False
0.16843,-7.146327000000001e-08,2.0677418150296793e-09,Y,10,False
0.163477,-8.0528873e-08,2.374885347342755e-09,Y,10,False
0.158523,-9.0421189e-08,1.4514967082861616e-09,Y,10,False
0.153569,-9.945860899999999e-08,2.2389642086536856e-09,Y,10,False
